,smiles,pre_LogLD,origin
0,C1=CC(=CC=C1[N+](=O)[O-])Cl,3.1490452724524096,2.71921287
1,CNC1=CC=C(C=C1)[N+](=O)[O-],3.29805169275666,3.301029996
2,CCN(CC)CCO,3.6768666655527085,3.113943352
3,C1=CC=C(C=C1)C=O,3.277596772171864,3.135132651
4,COC1=C(C=C(C=C1)C=C(C(=O)NC2=CC=CC=C2C(=O)O)C(=O)NC3=CC=CC=C3C(=O)O)OC,3.672036018451245,4.0
5,CC(=O)OCC#N,3.5291374825282555,1.505149978
6,CCOC(=O)C(=C)CO,3.7048870154911406,2.792391689
7,CCCC1CO1,2.761003420559725,3.167021796
8,C1=CN=CC=C1N.Cl,1.8842304161901646,1.505149978
9,C(CCCl)C[N+](CCCl)(CCCl)[O-].Cl,2.6775704327624386,1.477121255
10,O=Cl[O],3.2919859842284303,3.698970004
11,CC1=NC=C(C(=C1O)CO)CSSCC2=CN=C(C(=C2CO)O)C.Cl.Cl,3.9514745922769645,3.77815125
12,CCC12COP(=O)(OC1)OC2,2.8959090915764474,0.488550717
13,C1=CC=C(C=C1)OC2=NN=CC3=CC=CC=C32,3.2547875599160956,3.0
14,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4.C(CC(=O)O)C(=O)O,2.9742698214750805,2.555094449
15,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N)S(=O)(=O)O)S(=O)(=O)O,3.7685442415516173,4.170261715
16,C1=CC(=CC=C1CC2=CC=C(C=C2)Cl)Cl,3.0839640716632695,3.0
17,C1CCC(CC1)NC2CCCCC2,3.342364976260288,2.571708832
18,C1=CC=C(C=C1)OC2=CC=CC=C2,3.6879164456727476,3.476251796
19,CCCCCC/C(=C/C1=CC=CC=C1)/C=O,3.7384382817366677,3.491361694
20,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,3.6467155055291025,3.698970004
21,CCCCCCCCCCCC(=O)OC1CC(NC(C1)(C)C)(C)C,3.6549794916795615,3.301029996
22,CC(CN)NCCO,3.4031810391336337,3.691965103
23,CC(C)CC(C)CCCC(C)COC=C,3.6083435865391458,3.086359831
24,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NS(=O)(=O)C.Cl,3.093877438218329,3.505149978
25,CC1=CC(=NN1)C(=O)NC2=CC=CC=C2C(F)(F)F,3.0283244555872866,3.301029996
26,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2OC=O)O[C@@H]3[C@H](O[C@H](C[C@@H]3OC=O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(C[C@@H]([C@@H]7C8=CC(=O)OC8)OC=O)O)C)C)C)C)OC=O)OC=O,2.201144900000008,1.59117595
27,COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,3.692401085722086,3.698970004
28,C1CCNC(C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)Cl)O.Cl,2.1891525123551667,2.602059991
29,CCS(=O)(=O)CCC(=O)NNC(=O)N1CC2=CC=CC=C2OC3=C1C=C(C=C3)Cl,3.062467701426622,3.477121255
30,CCC1=CC(=C(N=C1)C(=O)O)C(=O)O,3.310605390770307,3.525433553
31,C(CCl)OP(=S)(OCCCl)OCCCl,1.833312486138383,2.913813852
32,C1NC2=C(N1)N=CN=C2NCC3=CC=CC=C3,3.1254884471897775,3.322219295
33,CC1=CC=C(C=C1)C2=C(N3CCSC3=N2)/C=N/NC(=O)CN(C)C,2.928536370106539,2.903089987
34,CC=C1[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,3.286391513146843,1.176091259
35,CCCNC(=O)C(CC1=CC=C(C=C1)OCCN(CC)CC)NC(=O)C2=CC=CC=C2,3.2200534791181235,2.875061263
