,CASRN,smiles,LogLD
0,100-00-5,C1=CC(=CC=C1[N+](=O)[O-])Cl,2.71921287
1,100-02-7,C1=CC(=CC=C1[N+](=O)[O-])O,2.285557309
2,100-14-1,C1=CC(=CC=C1CCl)[N+](=O)[O-],3.257438567
3,100-15-2,CNC1=CC=C(C=C1)[N+](=O)[O-],3.301029996
4,100-17-4,COC1=CC=C(C=C1)[N+](=O)[O-],3.361727836
5,100-18-5,CC(C)C1=CC=C(C=C1)C(C)C,3.505149978
6,100-20-9,C1=CC(=CC=C1C(=O)Cl)C(=O)Cl,3.397940009
7,100-21-0,C1=CC(=CC=C1C(=O)O)C(=O)O,3.978089173
8,100-28-7,C1=CC(=CC=C1N=C=O)[N+](=O)[O-],3.204119983
9,100-29-8,CCOC1=CC=C(C=C1)[N+](=O)[O-],3.51851394
10,100-35-6,CCN(CC)CCCl,1.230448921
11,100-36-7,CCN(CC)CCN,3.451786436
12,100-37-8,CCN(CC)CCO,3.113943352
13,100-40-3,C=CC1CCC=CC1,3.542534971
14,100-42-5,C=CC1=CC=CC=C1,3.459894853
15,100-44-7,C1=CC=C(C=C1)CCl,2.941449315
16,100-45-8,N#CC1CCC=CC1,2.662757832
17,100-51-6,C1=CC=C(C=C1)CO,3.269512944
18,100-52-7,C1=CC=C(C=C1)C=O,3.135132651
19,100-53-8,C1=CC=C(C=C1)CS,2.692846919
20,100-54-9,C1=CC(=CN=C1)C#N,3.07371835
21,100-60-7,CNC1CCCCC1,2.602059991
22,100-61-8,CNC1=CC=CC=C1,2.874481818
23,100-63-0,C1=CC=C(C=C1)NN,2.274157849
24,100-65-2,C1=CC=C(C=C1)NO,2
25,100-66-3,COC1=CC=CC=C1,3.568201724
26,100-68-5,CSC1=CC=CC=C1,3.02680555
27,100-69-6,C=CC1=CC=CC=N1,2.124938736
28,100-73-2,C1CC(OC=C1)C=O,3.691965103
29,100-74-3,CCN1CCOCC1,3.254467511
30,100-86-7,CC(C)(CC1=CC=CC=C1)O,3.10720997
31,100-87-8,C1=CC=C(C=C1)CS(=O)(=O)O,3
32,100-89-0,B1(OC(CC(O1)(C)C)C)OC(C)CC(C)(C)OB2OC(CC(O2)(C)C)C,3.674309889
33,100-95-8,CCCCCCCCCCCCNC(=O)C[N+](C)(C)CC1=CC=CC=C1.[Cl-],2
34,100-97-0,C1N2CN3CN1CN(C2)C3,4.056904851
